Top non-ASCII characters across all cleaned docs:
      71x  U+F0B7 UNKNOWN cat=Co
      50x  U+F0BE UNKNOWN cat=Co
      18x  U+00A7 SECTION SIGN cat=Po
      18x  U+00B0 DEGREE SIGN cat=So
      12x  U+00BD VULGAR FRACTION ONE HALF cat=No
      11x  U+2026 HORIZONTAL ELLIPSIS cat=Po
       9x  U+00BC VULGAR FRACTION ONE QUARTER cat=No
       4x  U+0394 GREEK CAPITAL LETTER DELTA cat=Lu
       3x  U+2122 TRADE MARK SIGN cat=So
       3x  U+00B7 MIDDLE DOT cat=Po
       3x  U+FFFD REPLACEMENT CHARACTER cat=So
       2x  U+00BA MASCULINE ORDINAL INDICATOR cat=Lo
       2x  U+2248 ALMOST EQUAL TO cat=Sm
       1x  U+00AD SOFT HYPHEN cat=Cf
       1x  U+00BE VULGAR FRACTION THREE QUARTERS cat=No
       1x  U+1D40 MODIFIER LETTER CAPITAL T cat=Lm
       1x  U+1D39 MODIFIER LETTER CAPITAL M cat=Lm
       1x  U+203A SINGLE RIGHT-POINTING ANGLE QUOTATION MARK cat=Pf
       1x  U+00B2 SUPERSCRIPT TWO cat=No
